id,name,vendor,price,description,location,manufacture,productGroup,weightInGramm,status,eanNumber
1,EVGA SuperNOVA GT 850 850W,notebooksbilliger.de,89.90,,Germany,220-GT-0850-Y2,power-supply,,new,4250812439109
2,INNO3D GeForce RTX 3060 Ti Twin X2 LHR Grafikkarte - 8GB GDDR6,notebooksbilliger.de,569.00,,Germany,N306T2-08D6-119032DH,GPU,,new,835168002340
3,ASUS ROG Strix B550-A,notebooksbilliger.de,170.51,,Germany,90MB15J0-M0EAY0,mainboard,,new,4718017826594
4,AMD Ryzen 9 5950X,notebooksbilliger.de,559.00,,Germany,100-100000059WOF,CPU,,new,730143312745
5,Samsung 870 EVO SSD 500GB,notebooksbilliger.de,74.90,,Germany,MZ-77E500B/EU,SSD,,new,8806090545924
6,G.SKILL Aegis Schwarz 32GB Kit,notebooksbilliger.de,121.90,,Germany,F4-3200C16D-32GIS,RAM,,new,4713294224415
7,ASUS BW-16D1HT,notebooksbilliger.de,79.90,,Germany,90DD01E0-B30000,Blueray-drive,,new,4716659418917
8,Scythe Mugen 5 [Rev. B] ,notebooksbilliger.de,45.99,,Germany,SCMG-5100,Cooling fan,,new,4571225056357
9,Cooler Master CM Force 500,notebooksbilliger.de,64.68,,Germany,FOR-500-KKN1,PC Case,,new,4719512041802
10,Logitech MX Master 2S Bluetooth,notebooksbilliger.de,75.99,,Germany,910-005139,Mouse,,new,5099206073029
11,Microsoft Bluetooth Keyboard,notebooksbilliger.de,37.99,,Germany,QSZ-00006,Keyboard,,new,889842519419
